fecha,ciudad,atentado
5/1/1959,La Plata,0
5/1/1959,Moron,0
15/1/1959,San Fernando,0
15/1/1959,Avellaneda,0
18/1/1959,La Plata,1
19/1/1959,Matanza,1
19/1/1959,La Plata,1
20/1/1959,Avellaneda,1
20/1/1959,Lomas,1
20/1/1959,Matanza,1
20/1/1959,Moreno,1
20/1/1959,Avellaneda,1
21/1/1959,La Plata,1
21/1/1959,La Plata,1
21/1/1959,Lomas,1
21/1/1959,Moron,1
21/1/1959,Moron,1
21/1/1959,Quilmes,1
21/1/1959,Lanus,1
21/1/1959,La Plata,1
21/1/1959,Vicente Lopez,1
21/1/1959,Merlo,1
21/1/1959,Merlo,1
21/1/1959,Quilmes,1
22/1/1959,Moron,1
22/1/1959,Moron,1
22/1/1959,Moron,1
22/1/1959,Quilmes,1
22/1/1959,San Fernando,1
22/1/1959,Merlo,1
30/1/1959,Lanus,0
30/1/1959,Almirante Brown,0
30/1/1959,San Martin,0
4/2/1959,San Martin,0
4/2/1959,Avellaneda,0
9/2/1959,Lanus,1
9/2/1959,Matanza,1
10/2/1959,Matanza,1
10/2/1959,Lanus,1
11/2/1959,Lomas,0
11/2/1959,La Plata,0
13/2/1959,La Plata,1
14/2/1959,Vicente Lopez,1
17/2/1959,Matanza,1
18/2/1959,Matanza,1
18/2/1959,Avellaneda,1
20/2/1959,Matanza,1
22/2/1959,San Isidro,0
22/2/1959,Quilmes,0
23/2/1959,Matanza,1
28/2/1959,San Fernando,1
6/3/1959,Moron,0
6/3/1959,Vicente Lopez,0
13/3/1959,San Martin,0
13/3/1959,Lanus,0
19/3/1959,Avellaneda,1
23/3/1959,Lanus,1
23/3/1959,Lomas,1
27/3/1959,Matanza,0
27/3/1959,La Plata,0
31/3/1959,Avellaneda,1
31/3/1959,San Isidro,1
31/3/1959,Vicente Lopez,1
3/4/1959,Vicente Lopez,0
3/4/1959,Matanza,0
10/4/1959,Lanus,0
10/4/1959,Almirante Brown,0
16/4/1959,San Fernando,1
20/4/1959,La Plata,1
21/4/1959,Matanza,1
21/4/1959,La Plata,1
21/4/1959,Matanza,1
21/4/1959,Matanza,1
25/4/1959,San Isidro,1
27/4/1959,Avellaneda,0
27/4/1959,San Fernando,0
29/4/1959,Avellaneda,1
30/4/1959,San Martin,1
5/5/1959,Avellaneda,1
5/5/1959,Vicente Lopez,1
5/5/1959,San Martin,1
7/5/1959,San Isidro,1
7/5/1959,Avellaneda,1
9/5/1959,La Plata,1
11/5/1959,Avellaneda,1
13/5/1959,La Plata,1
14/5/1959,San Isidro,1
15/5/1959,Moron,1
15/5/1959,Vicente Lopez,1
15/5/1959,Lanus,1
15/5/1959,Lomas,1
15/5/1959,San Martin,1
15/5/1959,Vicente Lopez,1
15/5/1959,La Plata,1
15/5/1959,Lomas,1
15/5/1959,Avellaneda,1
16/5/1959,La Plata,1
17/5/1959,San Martin,0
17/5/1959,La Plata,0
17/5/1959,Moron,0
18/5/1959,Avellaneda,1
20/5/1959,San Isidro,1
20/5/1959,San Isidro,1
21/5/1959,La Plata,1
22/5/1959,La Plata,1
26/5/1959,San Martin,1
26/5/1959,La Plata,1
28/5/1959,Lanus,1
28/5/1959,Avellaneda,1
30/5/1959,Avellaneda,1
30/5/1959,San Martin,1
2/6/1959,San Isidro,1
2/6/1959,San Martin,1
2/6/1959,San Martin,1
2/6/1959,San Martin,1
2/6/1959,Avellaneda,1
2/6/1959,Merlo,1
2/6/1959,Avellaneda,1
2/6/1959,Vicente Lopez,1
2/6/1959,La Plata,1
3/6/1959,La Plata,1
4/6/1959,Lanus,1
4/6/1959,San Martin,1
4/6/1959,Avellaneda,1
5/6/1959,La Plata,1
5/6/1959,Avellaneda,1
5/6/1959,Lanus,1
5/6/1959,La Plata,1
5/6/1959,Avellaneda,1
6/6/1959,Avellaneda,1
6/6/1959,Lanus,1
6/6/1959,Lanus,1
6/6/1959,Vicente Lopez,1
6/6/1959,Vicente Lopez,1
9/6/1959,Avellaneda,1
11/6/1959,Avellaneda,1
11/6/1959,Avellaneda,1
11/6/1959,Avellaneda,1
13/6/1959,Avellaneda,0
13/6/1959,Vicente Lopez,0
14/6/1959,San Fernando,1
19/6/1959,Lanus,1
19/6/1959,San Isidro,1
19/6/1959,Avellaneda,1
19/6/1959,Lanus,1
20/6/1959,Moron,1
20/6/1959,Moron,1
20/6/1959,Avellaneda,1
20/6/1959,Moron,1
20/6/1959,Moron,1
21/6/1959,La Plata,0
21/6/1959,Lanus,0
23/6/1959,Almirante Brown,1
24/6/1959,Avellaneda,1
24/6/1959,San Martin,1
24/6/1959,La Plata,1
25/6/1959,Lanus,1
26/6/1959,La Plata,1
26/6/1959,La Plata,1
30/6/1959,Almirante Brown,1
30/6/1959,San Martin,1
3/7/1959,Avellaneda,1
3/7/1959,Avellaneda,1
4/7/1959,Avellaneda,1
4/7/1959,La Plata,1
4/7/1959,La Plata,1
5/7/1959,Lanus,1
6/7/1959,Avellaneda,1
6/7/1959,La Plata,1
7/7/1959,Moron,1
7/7/1959,La Plata,1
8/7/1959,Avellaneda,1
9/7/1959,Avellaneda,1
11/7/1959,Lanus,1
11/7/1959,Lanus,1
11/7/1959,Lanus,1
11/7/1959,Lanus,1
13/7/1959,Lomas,0
13/7/1959,Moron,0
14/7/1959,Lanus,1
15/7/1959,La Plata,1
16/7/1959,Quilmes,1
19/7/1959,San Fernando,1
20/7/1959,Moron,1
25/7/1959,Lanus,1
25/7/1959,Lanus,1
26/7/1959,Moron,1
27/7/1959,Quilmes,1
27/7/1959,Vicente Lopez,1
27/7/1959,La Plata,1
28/7/1959,Avellaneda,1
28/7/1959,La Plata,1
29/7/1959,Avellaneda,0
29/7/1959,Matanza,0
30/7/1959,San Martin,1
30/7/1959,Almirante Brown,1
30/7/1959,Lanus,1
30/7/1959,Almirante Brown,1
30/7/1959,Almirante Brown,1
31/7/1959,Lanus,1
2/8/1959,Almirante Brown,1
3/8/1959,Lanus,1
3/8/1959,Lanus,1
3/8/1959,Avellaneda,1
3/8/1959,Avellaneda,1
5/8/1959,Lanus,1
6/8/1959,Matanza,1
8/8/1959,Avellaneda,1
9/8/1959,Avellaneda,1
10/8/1959,San Martin,0
10/8/1959,La Plata,0
12/8/1959,Lanus,1
16/8/1959,Lanus,1
17/8/1959,Lanus,0
17/8/1959,Matanza,0
21/8/1959,Moron,1
23/8/1959,Avellaneda,1
25/8/1959,Moron,1
25/8/1959,Moron,1
26/8/1959,San Fernando,1
27/8/1959,Moron,1
27/8/1959,Moron,1
2/9/1959,Moron,1
3/9/1959,Avellaneda,1
5/9/1959,Moron,1
5/9/1959,San Martin,1
5/9/1959,Matanza,1
6/9/1959,Vicente Lopez,1
7/9/1959,Avellaneda,0
7/9/1959,San Martin,0
7/9/1959,La Plata,0
9/9/1959,Moron,1
9/9/1959,Moron,1
9/9/1959,Moron,1
12/9/1959,Avellaneda,1
14/9/1959,Avellaneda,1
14/9/1959,Avellaneda,1
14/9/1959,Lanus,1
15/9/1959,Almirante Brown,1
15/9/1959,Lomas,1
15/9/1959,Lomas,1
16/9/1959,Lanus,1
17/9/1959,Avellaneda,1
18/9/1959,La Plata,1
18/9/1959,La Plata,1
19/9/1959,La Plata,1
19/9/1959,Quilmes,1
19/9/1959,San Martin,1
20/9/1959,Lanus,1
21/9/1959,Caseros,1
22/9/1959,La Plata,1
22/9/1959,La Plata,1
22/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,Berisso,1
24/9/1959,Pilar,1
24/9/1959,San Martin,1
24/9/1959,La Plata,1
24/9/1959,Avellaneda,1
24/9/1959,Avellaneda,1
24/9/1959,Avellaneda,1
24/9/1959,Lanus,1
24/9/1959,Lanus,1
24/9/1959,Moron,1
25/9/1959,Lomas,1
1/10/1959,Lanus,1
1/10/1959,Lanus,1
2/10/1959,La Plata,1
2/10/1959,San Fernando,1
3/10/1959,La Plata,1
8/10/1959,San Martin,1
10/10/1959,San Fernando,0
10/10/1959,Lanus,0
14/10/1959,La Plata,1
14/10/1959,La Plata,1
15/10/1959,Avellaneda,1
15/10/1959,Avellaneda,1
15/10/1959,Quilmes,1
15/10/1959,Quilmes,1
17/10/1959,Matanza,1
19/10/1959,San Fernando,1
22/10/1959,General Sarmiento,1
22/10/1959,San Martin,1
23/10/1959,La Plata,1
24/10/1959,Avellaneda,0
24/10/1959,Moron,0
28/10/1959,San Martin,1
1/11/1959,San Martin,1
3/11/1959,Avellaneda,1
4/11/1959,Lomas,1
8/11/1959,Vicente Lopez,0
8/11/1959,San Martin,0
13/11/1959,Quilmes,1
15/11/1959,Vicente Lopez,1
17/11/1959,Lanus,1
20/11/1959,La Plata,0
20/11/1959,Moron,0
21/11/1959,La Plata,1
24/11/1959,La Plata,1
25/11/1959,Avellaneda,1
30/11/1959,Quilmes,0
30/11/1959,Avellaneda,0
1/12/1959,Avellaneda,1
6/12/1959,Moron,0
6/12/1959,Avellaneda,0
9/12/1959,La Plata,1
9/12/1959,La Plata,1
11/12/1959,Lanus,1
14/12/1959,Lanus,1
16/12/1959,La Plata,1
19/12/1959,Avellaneda,1
21/12/1959,La Plata,1
22/12/1959,Avellaneda,1
23/12/1959,Berisso,1
23/12/1959,La Plata,1
24/12/1959,San Isidro,1
26/12/1959,Lanus,0
26/12/1959,San Isidro,0
31/12/1959,Avellaneda,1